year,id,lnCI,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,Carbon-peaking pressure,EI,CI_ratio,d1,d2
year	id	lnCI	education	major	tenure	age	hometown	Structure	Open	TI	PGDP2	PGDP	Fixed	FD	UR	pilot	rank	turnover	Carbon-peaking pressure	EI	CI_ratio	d1	d2

2018,67,12,0,2,7,64,8,10,0,32,0,1,0,0,,0,1,1
2019,67,11,0,2,7,65,8,10,0,32,0,1,0,0,,0,1,0
2000,68,10,0,94,10,106,10,12,0,67,0,0,0,1,,,0,0
2001,68,10,0,96,10,106,10,12,0,71,0,0,0,1,,0,0,1
2002,68,10,0,104,11,105,10,12,0,74,0,0,1,1,,0,0,1
2003,68,10,0,137,11,106,10,12,0,78,0,0,0,1,,0,0,1
2004,68,10,0,163,11,107,10,12,1,81,0,0,0,1,,0,0,0
2005,68,11,0,164,11,107,10,12,1,89,0,0,0,1,,0,0,0
2006,68,11,0,168,12,108,10,12,1,89,0,0,1,1,4326,0,0,0
2007,68,11,0,160,12,109,10,12,1,89,0,0,1,1,4428,0,0,1
2008,68,11,0,151,12,109,10,12,1,89,0,0,0,1,4498,0,0,1
2009,68,11,0,120,12,109,10,12,1,89,0,0,0,1,4511,0,0,1
2010,68,11,0,136,13,109,10,12,1,89,0,0,0,1,4981,0,0,0
2011,68,11,0,138,13,110,10,12,1,89,0,0,0,1,5117,0,0,0
2012,68,11,0,129,13,110,10,12,1,89,0,0,1,1,5357,0,0,1
2013,68,11,0,116,13,110,10,12,1,90,1,0,0,1,5523,0,0,0
2014,68,11,0,113,13,110,10,12,1,90,1,0,0,1,5227,0,0,1
2015,68,11,0,109,13,110,10,12,1,88,1,0,0,1,5433,0,0,0
2016,68,11,0,101,13,111,11,12,1,88,1,0,0,1,5477,0,0,1
2017,68,10,0,94,13,111,11,12,1,88,1,0,1,1,5486,0,0,0
2018,68,10,0,98,13,111,11,12,1,88,1,0,0,1,5635,0,0,1
2019,68,10,0,91,13,111,11,12,1,89,1,0,0,1,5864,0,0,0
2000,69,10,0,70,7,94,10,10,0,67,0,0,0,0,,,0,1
2001,69,10,0,65,7,94,10,10,0,69,0,0,1,0,,0,0,0
2002,69,10,0,60,7,93,10,11,0,71,0,0,0,0,,0,0,1
2003,69,10,0,72,8,94,10,11,0,73,0,0,1,0,,0,0,0
2004,69,10,0,82,8,95,10,11,0,75,0,0,0,0,,0,0,1
2005,69,11,0,88,8,95,10,11,0,76,0,0,0,0,,0,0,0
2006,69,11,0,86,9,95,10,11,0,76,0,0,0,0,21915,0,0,0
2007,69,11,0,78,9,95,10,11,0,77,0,0,0,0,24527,0,0,1
2008,69,11,0,72,9,95,10,11,0,77,0,0,1,0,23283,0,1,1
2009,69,11,0,54,9,95,10,11,0,77,0,0,0,0,25899,0,1,0
2010,69,11,0,58,9,96,10,11,0,79,0,0,0,0,27039,0,1,0
2011,69,11,0,58,10,97,10,11,0,80,0,0,1,0,4731,0,1,1
2012,69,11,0,48,10,98,10,11,0,80,0,0,0,0,4874,0,1,0
2013,69,11,0,41,10,98,10,11,0,81,0,0,0,0,5421,0,0,0
2014,69,11,0,39,11,98,10,11,0,81,0,0,0,0,5620,0,0,0
2015,69,11,0,35,11,98,10,11,0,81,0,0,1,0,5788,0,1,1
2016,69,11,0,32,11,98,10,11,0,82,0,0,1,0,6186,0,0,0
2017,69,11,0,34,11,98,10,11,0,82,1,0,1,0,6428,0,1,1
2018,69,11,0,35,11,98,10,11,0,83,1,0,0,0,6949,0,1,0
2019,69,11,0,35,11,97,10,11,0,83,1,0,0,0,7122,0,1,1
2000,70,10,1,42,7,100,10,10,0,58,0,0,1,0,,,0,0
2001,70,10,1,41,7,100,10,10,0,60,0,0,0,0,,0,0,1
2002,70,10,1,53,7,100,10,10,0,61,0,0,0,0,,0,0,1
2003,70,10,1,65,7,101,10,11,0,63,0,0,1,0,,0,0,1
2004,70,10,1,79,8,102,10,11,0,66,0,0,1,0,,0,0,0
2005,70,10,1,83,8,103,10,11,0,67,0,0,0,0,,0,0,0
2006,70,10,1,91,8,103,10,11,0,67,0,0,0,0,2163,0,0,1
2007,70,11,1,95,9,104,10,11,0,67,0,0,0,0,2473,0,0,1
2008,70,11,1,85,9,104,10,11,0,67,0,0,0,0,2522,0,0,0
2009,70,11,1,60,10,104,10,11,0,68,0,0,0,0,2554,0,0,0
2010,70,11,1,70,10,104,10,11,0,70,0,0,0,0,2958,0,0,0
2011,70,11,1,67,11,105,10,11,0,72,0,0,1,0,3008,0,0,0
2012,70,11,1,60,11,105,10,11,0,73,0,0,0,0,3073,0,0,1
2013,70,11,1,54,11,104,10,11,0,74,0,0,0,0,3346,0,0,1
2014,70,11,1,54,11,104,10,11,0,75,0,0,0,0,3459,0,0,0
2015,70,11,0,51,11,103,10,11,0,75,0,0,1,0,3643,0,0,0
2016,70,11,0,52,11,103,10,11,0,76,0,0,0,0,4111,0,0,1
2017,70,11,0,51,11,103,10,11,0,76,0,0,0,0,8242,0,0,0
2018,70,11,0,57,11,103,10,11,0,76,0,0,0,0,8574,0,0,1
2019,70,11,0,55,11,102,10,11,0,77,0,0,1,0,8608,0,0,0
2000,71,11,0,4,6,75,9,10,0,38,0,0,0,0,,,0,1
2001,71,11,0,4,6,75,9,10,0,39,0,0,1,0,,0,0,0
2002,71,11,0,5,6,74,9,9,0,40,0,0,0,0,,0,0,1
2003,71,11,0,7,7,74,9,10,0,40,0,0,1,0,,0,0,1
2004,71,11,0,7,7,75,9,10,0,41,0,0,0,0,,0,0,0
2005,71,11,1,7,7,76,9,10,0,43,0,0,0,0,,0,0,1
2006,71,11,1,10,7,76,9,10,0,45,0,0,0,0,1733,0,1,1
2007,71,11,1,10,8,77,9,10,0,46,0,0,0,0,1784,0,0,0
2008,71,11,1,11,8,78,9,10,0,48,0,0,0,0,1731,0,1,1
2009,71,11,1,7,9,78,9,11,0,50,0,0,1,0,2124,0,1,0
2010,71,11,0,9,9,79,9,11,0,54,0,0,0,0,3046,0,1,1
2011,71,11,0,11,9,80,9,11,0,55,0,0,0,0,3306,0,1,1
2012,71,11,0,13,9,79,9,11,0,57,0,0,0,0,3779,0,1,0
2013,71,11,0,8,10,79,9,11,0,58,0,0,0,0,3714,0,0,0
2014,71,11,0,7,9,79,9,11,0,59,0,0,0,0,3780,0,0,0
2015,71,11,0,7,9,78,9,11,0,61,0,0,0,0,4039,0,1,1
2016,71,11,0,7,10,78,9,11,0,62,0,0,1,0,4118,0,1,1
2017,71,11,0,8,10,78,9,11,0,64,0,0,0,0,6728,0,1,0
2018,71,11,0,12,10,79,9,11,0,65,0,0,1,0,6471,0,1,0
2019,71,11,0,13,10,79,9,11,0,67,0,0,0,0,7203,0,1,1
2000,72,10,1,39,6,92,10,10,0,64,0,0,0,0,,,0,1
2001,72,10,1,40,7,92,10,10,0,65,0,0,1,0,,0,0,1
2002,72,10,1,43,7,92,10,10,0,67,0,0,0,0,,0,0,0
2003,72,10,1,48,7,92,10,10,0,68,0,0,1,0,,0,0,1
2004,72,10,1,51,7,93,10,10,0,70,0,0,0,0,,0,0,0
2005,72,11,1,51,7,94,10,10,0,61,0,0,0,0,,0,0,0
2006,72,11,1,51,8,95,10,10,0,60,0,0,0,0,3878,0,0,1
2007,72,11,1,50,8,95,10,11,0,61,0,0,0,0,4185,0,1,1
2008,72,11,1,52,9,96,10,11,0,61,0,0,0,0,4032,0,1,1
2009,72,11,1,40,9,96,10,11,0,61,0,0,0,0,4415,0,1,0
2010,72,11,1,48,9,97,10,11,0,64,0,0,0,0,4735,0,1,0
2011,72,11,1,50,10,98,10,11,0,65,0,0,0,0,5014,0,1,1
2012,72,11,1,45,10,98,10,11,0,66,0,0,1,0,5312,0,1,0
2013,72,11,1,39,10,98,10,11,0,67,0,0,0,0,5756,0,1,0
2014,72,11,0,35,10,98,10,11,0,69,0,0,0,0,5834,0,1,1
2015,72,11,0,34,10,97,10,11,0,70,0,0,0,0,7320,0,1,1
2016,72,11,0,33,10,97,10,11,0,71,0,0,0,0,7826,0,1,0
2017,72,11,0,32,10,98,10,11,0,72,1,0,1,0,9382,0,1,0
2018,72,11,0,34,10,98,10,11,0,72,1,0,1,0,10278,0,1,1
2019,72,11,0,32,11,98,10,11,0,73,1,0,1,0,11028,0,1,0
2000,73,10,1,108,7,99,10,11,0,34,0,0,1,0,,,0,0
2001,73,10,1,111,8,99,10,11,0,41,0,0,0,0,,0,0,1
2002,73,10,1,145,8,100,10,11,0,47,0,0,1,0,,0,0,0
2003,73,10,1,194,8,102,10,11,0,54,0,0,0,0,,0,0,1
2004,73,11,1,254,8,102,10,11,0,61,0,0,1,0,,0,0,1
2005,73,11,1,272,8,103,10,11,0,64,0,0,0,0,,0,0,0
2006,73,11,1,275,9,104,10,11,0,65,0,0,0,0,1858,0,0,0
2007,73,11,1,262,10,104,10,11,0,66,0,0,0,0,2045,0,1,1
2008,73,11,1,218,10,105,10,11,0,66,0,0,0,0,2045,0,0,0
2009,73,11,1,175,11,105,10,11,0,66,0,0,1,0,2048,0,1,1
2010,73,11,1,198,11,105,10,11,0,71,0,0,0,0,2347,0,1,0
2011,73,11,1,178,11,106,10,11,0,71,0,0,0,0,2458,0,1,1
2012,73,11,1,161,12,106,10,11,0,72,0,0,0,0,3998,0,1,1
2013,73,11,1,146,11,106,10,11,0,73,1,0,0,0,4439,0,1,0
2014,73,11,1,139,11,105,10,11,0,74,1,0,1,0,4513,0,1,1
2015,73,11,1,137,11,104,10,11,0,75,1,0,1,0,5382,0,1,1
2016,73,11,0,123,11,104,10,11,0,75,1,0,1,0,5021,0,1,0
2017,73,11,0,122,12,104,10,11,0,76,1,0,0,0,10691,0,1,1
2018,73,11,0,133,12,104,10,11,0,76,1,0,0,0,11085,0,1,1
2019,73,11,0,116,12,103,10,11,0,77,1,0,1,0,11006,0,1,1
2000,74,10,1,36,6,80,9,10,0,38,0,0,0,0,,,0,0
2001,74,10,1,34,6,80,9,10,0,39,0,0,0,0,,0,0,1
2002,74,10,1,37,6,79,9,10,0,41,0,0,1,0,,0,0,0
2003,74,11,1,44,7,79,9,10,0,42,0,0,0,0,,0,0,1
2004,74,11,1,47,7,81,9,10,0,43,0,0,0,0,,0,0,0
2005,74,11,1,46,7,82,9,10,0,45,0,0,0,0,,0,0,1
2006,74,11,1,44,8,83,9,11,0,47,0,0,0,0,1303,0,1,1
2007,74,11,1,43,9,84,9,11,0,49,0,0,0,0,1426,0,0,0
2008,74,11,1,44,9,85,9,11,0,50,0,0,0,0,1261,0,0,1
2009,74,11,1,38,10,84,9,11,0,53,0,0,0,0,1760,0,1,1
2010,74,11,1,40,10,85,9,11,0,56,0,0,0,0,1881,0,1,0
2011,74,11,1,39,10,86,9,11,0,58,0,0,1,0,1950,0,1,0
2012,74,11,1,36,10,86,9,11,0,59,0,0,0,0,1513,0,1,1
2013,74,11,1,35,10,87,9,11,0,60,0,0,0,0,2276,0,1,1
2014,74,11,0,34,10,86,9,11,0,61,0,0,0,0,3892,0,1,1
2015,74,11,1,32,10,87,9,11,0,63,0,0,0,0,2446,0,1,0
2016,74,11,0,30,10,87,9,11,0,64,0,0,1,0,2559,0,1,1
2017,74,11,0,28,11,88,9,11,0,66,0,0,0,0,5913,0,1,0
2018,74,11,0,30,10,88,9,11,0,67,0,0,0,0,6598,0,1,1
2019,74,11,0,27,10,89,9,11,0,68,0,0,1,0,6578,0,1,0
2000,75,11,0,16,5,71,8,9,0,28,0,1,1,0,,,0,0
2001,75,11,0,21,5,71,8,9,0,30,0,1,1,0,,0,0,1
2002,75,11,0,21,5,71,8,9,0,32,0,1,0,0,,0,0,0
2003,75,11,0,24,5,71,8,10,0,35,0,1,0,0,,0,1,1
2004,75,11,0,32,6,72,8,10,0,36,0,1,0,0,,0,1,1
2005,75,11,0,33,6,73,9,10,0,37,0,1,1,0,,0,1,1
2006,75,11,0,35,6,74,9,10,0,39,0,1,0,0,1424,0,1,1
2007,75,11,0,34,6,74,9,10,0,41,0,1,0,0,1411,0,1,0
2008,75,11,0,37,7,75,9,10,0,42,0,1,0,0,1432,0,1,0
2009,75,11,0,28,7,75,9,10,0,43,0,1,0,0,1632,0,1,0
2010,75,11,0,28,7,76,9,10,0,52,0,1,0,0,1671,0,1,1
2011,75,12,0,31,8,77,9,10,0,53,0,1,1,0,1874,0,1,0
2012,75,12,0,31,8,77,9,10,0,54,0,1,0,0,2007,0,1,1
2013,75,12,0,22,8,77,9,10,0,56,0,1,1,0,2228,0,1,0
2014,75,12,0,25,9,76,9,10,0,57,0,1,1,0,4089,0,1,1
2015,75,11,0,23,9,77,9,11,0,59,0,1,0,0,2903,0,1,0
2016,75,11,0,19,9,77,9,11,0,60,0,1,0,0,2816,0,1,0
2017,75,11,0,19,9,78,9,10,0,62,0,1,0,0,7028,0,1,0
2018,75,11,0,22,9,78,9,10,0,63,0,1,1,0,7502,0,1,0
2019,75,11,0,21,9,78,9,10,0,64,0,1,0,0,7690,0,1,1
2000,76,11,0,7,5,72,9,9,0,29,0,1,1,0,,,0,1
2001,76,11,0,7,5,73,9,9,0,30,0,1,1,0,,0,0,1
2002,76,11,0,6,5,73,9,9,0,31,0,1,0,0,,0,0,0
2003,76,11,0,7,5,73,9,10,0,33,0,1,0,0,,0,0,1
2004,76,11,0,11,6,74,9,10,0,34,0,1,0,0,,0,0,0
2005,76,11,0,10,6,74,9,10,0,37,0,1,0,0,,0,0,1
2006,76,11,0,12,6,74,9,10,0,38,0,1,0,0,2151,0,1,1
2007,76,11,0,13,6,75,9,10,0,40,0,1,0,0,2307,0,1,0
2008,76,11,0,12,7,76,9,10,0,37,0,1,1,0,2521,0,1,0
2009,76,11,0,9,7,76,9,10,0,38,0,1,0,0,2786,0,1,1
2010,76,11,0,10,7,77,9,11,1,40,0,1,0,0,2872,0,1,0
2011,76,11,0,11,8,78,9,10,0,41,0,1,0,0,3171,0,1,0
2012,76,11,0,14,8,78,9,10,0,43,0,1,0,0,3364,0,1,0
2013,76,11,0,10,9,79,9,10,0,51,1,1,1,0,3539,0,1,0
2014,76,11,0,10,9,78,9,10,0,52,1,1,0,0,3733,0,1,1
2015,76,11,0,10,9,78,9,10,0,53,1,1,0,0,3867,0,1,0
2016,76,11,0,8,9,79,9,10,0,55,1,0,0,0,4298,0,1,0
2017,76,11,0,9,9,79,9,10,0,57,1,0,0,0,5985,0,1,1
2018,76,11,0,10,9,79,9,10,0,58,1,0,0,0,6337,0,1,0
2019,76,11,0,9,9,79,9,10,0,60,1,0,1,0,6677,0,1,1
2000,77,10,0,6,5,74,9,9,0,38,0,0,0,0,,,0,0
2001,77,10,0,5,5,75,9,9,0,38,0,0,1,0,,0,0,0
2002,77,11,0,7,6,75,9,9,0,39,0,0,0,0,,0,0,1
2003,77,11,0,9,6,74,9,10,0,39,0,0,0,0,,0,0,0
2004,77,11,0,11,6,75,9,10,0,40,0,0,0,0,,0,0,1
2005,77,11,0,11,6,76,9,10,0,41,0,0,0,0,,0,0,1
2006,77,11,0,11,7,76,9,10,0,42,0,0,1,0,669,0,0,0
2007,77,11,0,12,7,76,9,10,0,44,0,1,0,0,776,0,0,0
2008,77,11,0,11,8,77,9,10,0,45,0,1,0,0,800,0,0,0
2009,77,11,0,10,8,77,9,11,0,46,0,0,0,0,915,0,0,0
2010,77,11,0,11,8,78,9,11,0,53,0,1,0,0,1052,0,1,1
2011,77,11,0,12,8,78,9,10,0,54,0,1,0,0,1094,0,1,1
2012,77,11,0,11,9,79,9,10,0,56,0,1,0,0,1158,0,1,0
2013,77,11,0,11,9,79,9,10,0,57,0,1,1,0,1267,0,1,1
2014,77,11,0,12,9,78,9,11,0,58,0,1,0,0,1368,0,1,1
2015,77,11,0,13,9,78,9,11,0,60,0,1,0,0,2599,0,1,0
2016,77,11,0,12,9,78,9,11,0,62,0,1,1,0,2835,0,1,1
2017,77,11,0,11,10,78,9,11,0,63,0,1,0,0,6614,0,1,1
2018,77,11,0,12,10,79,9,11,0,64,0,1,1,0,7221,0,1,0
2019,77,11,0,12,10,79,9,11,0,6,0,1,0,0,7381,0,1,0
2000,78,10,1,20,6,82,9,9,0,43,0,0,0,0,,,0,1
2001,78,10,1,20,6,82,9,9,0,44,0,0,1,0,,0,0,0
2002,78,11,1,23,6,81,9,9,0,45,0,0,0,0,,0,0,0
2003,78,11,1,27,7,82,9,10,0,45,0,0,0,0,,0,0,1
2004,78,11,1,26,7,83,9,10,0,46,0,0,1,0,,0,0,1
2005,78,11,1,23,7,85,9,10,0,48,0,0,0,0,,0,0,1
2006,78,11,1,22,7,85,9,10,0,49,0,0,0,0,1218,0,0,0
2007,78,11,1,24,8,85,9,10,0,50,0,0,0,0,1275,0,0,0
2008,78,11,1,25,8,87,9,10,0,51,0,0,0,0,1581,0,1,1
2009,78,11,1,20,8,86,9,10,0,53,0,0,1,0,1792,0,1,0
2010,78,11,1,24,8,87,9,10,0,57,0,0,0,0,1671,0,1,1
2011,78,11,1,24,9,88,9,10,0,58,0,0,0,0,1925,0,1,0
2012,78,11,1,21,9,88,9,10,0,59,0,0,1,0,2621,0,1,1
2013,78,11,1,17,10,89,9,10,0,60,0,0,0,0,2832,0,1,0
2014,78,11,1,16,10,89,9,11,0,61,0,0,0,0,2936,0,1,0
2015,78,11,0,16,10,88,9,11,0,63,0,0,0,0,2999,0,1,1
2016,78,11,0,15,10,89,9,11,0,64,0,0,0,0,3442,0,1,1
2017,78,11,0,14,10,89,9,11,0,66,0,0,0,0,5535,0,1,0
2018,78,11,0,15,10,90,9,11,0,67,0,0,0,0,5775,0,1,0
2019,78,11,0,14,10,90,9,11,0,68,0,0,1,0,6057,0,1,0
2000,79,10,1,29,5,90,9,9,0,50,0,0,0,0,,,0,1
2001,79,10,1,26,6,90,9,9,0,55,0,0,1,0,,0,0,0
2002,79,10,1,34,6,89,9,9,0,59,0,0,0,0,,0,0,0
2003,79,11,1,38,6,89,9,10,0,63,0,0,1,0,,0,0,0
2004,79,11,1,40,7,91,10,10,0,64,0,0,0,0,,0,0,0
2005,79,11,1,36,7,92,10,10,0,59,0,0,0,0,,0,0,1
2006,79,11,1,35,8,92,10,10,0,59,0,0,0,0,2457,0,0,1
2007,79,11,1,36,8,93,10,10,0,60,0,0,0,0,2717,0,0,0
2008,79,11,1,34,8,94,10,10,0,60,0,0,1,0,2631,0,0,1
2009,79,11,1,24,9,94,10,10,0,60,0,0,0,0,2810,0,1,1
2010,79,11,1,27,9,95,10,10,0,62,0,0,0,0,2971,0,1,0
2011,79,11,1,28,9,95,10,10,0,63,0,0,0,0,3445,0,1,1
2012,79,11,1,29,9,94,10,10,0,64,0,0,1,0,3795,0,1,0
2013,79,11,1,23,10,93,10,10,0,65,1,0,1,0,4158,0,1,0
2014,79,11,1,22,10,93,10,10,0,67,1,0,1,0,4278,0,1,0
2015,79,11,0,21,10,93,10,10,0,68,1,0,1,0,4510,0,1,1
2016,79,11,0,21,10,93,10,10,0,69,1,0,0,0,4744,0,1,0
2017,79,11,0,19,10,93,10,10,0,70,1,0,1,0,8482,0,1,0
2018,79,11,0,21,10,93,10,9,0,71,1,0,0,0,9012,0,1,1
2019,79,11,0,19,10,93,10,9,0,72,1,0,0,0,9985,0,1,1
2000,80,11,0,9,6,77,9,9,0,48,0,0,0,0,,,0,0
2001,80,11,0,10,6,77,9,9,0,47,0,0,0,0,,0,0,0
2002,80,11,0,9,6,77,9,9,0,45,0,0,0,0,,0,0,1
2003,80,11,1,13,6,77,9,9,0,43,0,0,1,0,,0,0,1
2004,80,11,1,15,7,79,9,10,0,44,0,0,0,0,,0,0,0
2005,80,11,1,18,7,80,9,10,0,45,0,0,0,0,,0,0,1
2006,80,11,1,21,7,81,9,10,0,46,0,0,0,0,3284,0,1,1
2007,80,11,1,23,8,81,9,10,0,48,0,1,0,0,2949,0,1,0
2008,80,11,1,30,8,82,9,10,0,49,0,1,1,0,2480,0,1,1
2009,80,11,1,24,8,82,9,10,0,51,0,1,0,0,2214,0,1,0
2010,80,11,1,28,8,83,9,10,0,56,0,1,0,0,1826,0,1,1
2011,80,11,1,28,9,84,9,10,0,57,0,1,0,0,1354,0,1,1
2012,80,11,1,24,9,84,9,10,0,58,0,1,0,0,1597,0,1,0
2013,80,11,1,20,9,84,9,10,0,59,0,0,0,0,2399,0,1,0
2014,80,11,1,21,10,83,9,10,0,60,0,1,1,0,2718,0,1,0
2015,80,11,1,19,10,83,9,10,0,62,0,1,0,0,2841,0,1,0
2016,80,11,1,19,10,83,9,11,0,63,0,1,0,0,3055,0,1,1
2017,80,11,0,19,10,84,9,11,0,65,0,0,1,0,7811,0,1,1
2018,80,11,1,21,10,84,9,11,0,66,0,0,1,0,8318,0,1,0
2019,80,11,0,20,10,85,9,11,0,67,0,0,1,0,8525,0,1,1
2000,81,11,0,1,4,65,8,8,0,22,0,1,0,0,,,0,0
2001,81,11,0,1,4,65,8,8,0,25,0,1,1,0,,0,0,0
2002,81,11,0,2,4,65,8,8,0,28,0,1,0,0,,0,0,1
2003,81,11,0,2,4,65,8,8,0,31,0,1,0,0,,0,1,1
2004,81,11,0,3,4,66,8,8,0,30,0,1,0,0,,0,1,1
2005,81,11,0,3,5,66,8,9,0,32,0,1,0,0,,0,1,0
2006,81,11,0,4,5,67,8,9,0,32,0,1,1,0,978,0,1,1
2007,81,12,0,4,5,67,8,9,0,34,0,1,0,0,1138,0,1,0
2008,81,12,0,5,6,69,8,9,0,36,0,1,0,0,1265,0,1,1
2009,81,12,0,5,6,69,8,10,0,38,0,1,0,0,1608,0,1,0
2010,81,12,0,8,6,70,8,10,0,48,0,1,0,0,1981,0,1,0
2011,81,12,0,10,7,72,8,10,0,50,0,1,1,0,2513,0,1,0
2012,81,12,0,12,8,72,8,10,0,51,0,1,0,0,3057,0,1,0
2013,81,12,0,12,8,72,8,10,0,52,0,1,1,0,3546,0,1,1
2014,81,12,0,12,9,72,8,10,0,54,0,1,1,0,3882,0,1,0
2015,81,11,0,7,9,72,9,10,0,56,0,1,0,0,3775,0,1,0
2016,81,12,0,7,9,72,9,10,0,58,0,1,0,0,4005,0,1,1
2017,81,12,0,7,9,73,9,10,0,58,0,1,0,0,7764,0,1,1
2018,81,12,0,9,9,73,9,10,0,60,0,1,1,0,8906,0,1,0
2019,81,12,0,8,9,73,9,10,0,61,0,1,0,0,10012,0,1,0
2000,82,10,1,62,7,96,10,10,0,37,0,0,1,0,,,0,0
2001,82,10,1,59,7,96,10,10,0,38,0,0,0,0,,0,0,0
2002,82,10,1,60,8,96,10,10,0,40,0,0,0,0,,0,0,0
2003,82,10,1,71,8,96,10,11,0,68,0,0,0,0,,0,0,1
2004,82,10,1,79,8,97,10,11,0,69,0,0,0,0,,0,0,1
2005,82,10,1,81,9,97,10,11,0,70,0,0,0,0,,0,0,1
2006,82,11,1,87,9,98,10,11,0,69,0,0,0,0,2886,0,0,1
2007,82,11,1,76,9,98,10,11,0,69,0,0,0,0,3137,0,0,1
2008,82,11,0,68,10,99,10,11,0,69,0,0,0,0,3200,0,0,0
2009,82,11,0,53,10,98,10,11,0,70,0,0,0,0,3566,0,0,0
2010,82,11,0,57,10,99,10,11,0,73,1,0,1,0,3919,0,0,0
2011,82,11,0,56,10,100,10,11,0,74,1,0,0,0,4008,0,0,1
2012,82,11,0,49,11,100,10,11,0,74,1,0,0,0,4058,0,0,1
2013,82,11,0,46,11,100,10,11,0,75,1,0,1,0,4370,0,0,0
2014,82,11,0,44,11,100,10,11,0,75,1,0,0,0,5242,0,0,0
2015,82,11,0,41,11,100,10,11,0,75,1,0,1,0,5037,0,0,0
2016,82,11,0,40,11,100,10,11,0,76,1,0,0,0,5248,0,0,1
2017,82,11,0,37,11,101,10,11,0,77,1,0,0,0,6372,0,0,0
2018,82,10,0,38,11,100,10,11,0,77,1,0,1,0,6784,0,0,1
2019,82,10,0,37,12,100,10,11,0,79,1,0,0,0,6885,0,0,0
2000,83,10,1,55,7,96,10,10,0,55,0,0,0,0,,,0,1
2001,83,10,1,58,8,95,10,10,0,57,0,0,0,0,,0,0,0
2002,83,10,1,70,8,95,10,11,0,58,0,0,0,0,,0,0,1
2003,83,10,1,89,8,96,10,11,0,60,0,0,1,0,,0,0,1
2004,83,11,1,102,8,97,10,11,0,61,0,0,0,0,,0,0,1
2005,83,11,1,110,9,97,10,11,0,63,0,0,0,0,,0,0,1
2006,83,11,1,114,9,98,10,11,0,63,0,0,0,0,2562,0,0,0
2007,83,11,1,120,9,99,10,11,0,63,0,0,0,0,2630,0,0,1
2008,83,11,1,116,10,99,10,11,0,64,0,0,0,0,2599,0,1,1
2009,83,11,1,94,10,100,10,11,0,64,0,0,0,0,2717,0,1,0
2010,83,11,1,104,10,101,10,11,0,68,0,0,1,0,2928,0,1,0
2011,83,11,1,100,11,102,10,11,0,69,0,0,0,0,2933,0,1,1
2012,83,11,1,88,11,102,10,11,0,69,0,0,0,0,3163,0,1,1
2013,83,11,1,82,11,102,10,11,0,70,1,0,1,0,3385,0,0,0
2014,83,11,1,81,11,102,10,11,0,70,1,0,0,0,3558,0,0,0
2015,83,11,1,79,11,101,10,11,0,71,1,0,0,0,3893,0,1,1
2016,83,11,0,73,11,101,10,11,0,72,1,0,1,0,4613,0,0,0
2017,83,11,1,72,11,102,10,11,0,72,1,0,1,0,6921,0,0,0
2018,83,11,0,80,11,102,10,11,0,73,1,0,0,0,7370,0,0,0
2019,83,11,0,77,11,102,10,11,0,74,1,0,0,0,7666,0,0,1
2000,84,10,1,20,7,83,9,10,0,59,0,0,0,0,,,0,0
2001,84,10,1,24,8,83,9,10,0,60,0,0,0,0,,0,0,1
2002,84,10,1,27,8,83,9,10,0,60,0,0,1,0,,0,0,0
2003,84,10,1,31,8,83,9,10,0,61,0,0,0,0,,0,0,1
2004,84,10,1,36,8,83,9,10,0,61,0,0,1,0,,0,0,0
2005,84,11,1,40,8,83,9,10,0,60,0,0,0,0,,0,0,1
2006,84,11,1,42,9,83,9,10,0,60,0,0,0,0,2073,0,0,0
2007,84,11,1,41,9,83,9,10,0,60,0,0,0,0,2045,0,0,1
2008,84,11,1,39,9,84,9,10,0,61,0,0,1,0,1890,0,0,0
2009,84,11,1,36,9,83,9,10,0,61,0,0,0,0,2045,0,0,0
2010,84,11,1,38,9,84,9,10,0,66,0,0,1,0,2193,0,1,1
2011,84,11,1,40,9,85,9,10,0,66,0,0,0,0,2147,0,0,0
2012,84,11,0,35,10,85,9,11,0,67,0,0,0,0,2098,0,0,0
2013,84,11,0,31,10,85,9,11,0,67,1,0,1,0,2153,0,0,0
2014,84,11,0,29,10,85,9,11,0,67,1,0,0,0,2116,0,0,0
2015,84,11,0,27,10,85,9,11,0,68,1,0,1,0,2059,0,0,1
2016,84,11,0,24,11,85,9,11,0,69,1,0,1,0,2371,0,0,0
2017,84,11,0,24,11,84,9,11,0,70,1,0,1,0,6453,0,0,1
2018,84,11,0,26,11,85,9,11,0,70,1,0,1,0,6810,0,0,0
2019,84,11,0,29,11,85,9,11,0,71,1,0,0,0,7051,0,0,0
2000,85,10,1,43,6,89,9,10,0,33,0,0,0,0,,,0,1
2001,85,10,1,46,6,89,9,10,0,35,0,0,0,0,,0,0,0
2002,85,10,1,45,6,90,9,10,0,38,0,0,0,0,,0,0,0
2003,85,11,1,57,6,91,10,10,0,41,0,0,1,0,,0,0,0
2004,85,11,1,65,7,91,10,10,0,43,0,0,0,0,,0,0,0
2005,85,11,1,69,8,92,10,10,0,46,0,0,0,0,,0,0,0
2006,85,11,1,73,8,92,10,10,0,48,0,0,0,0,1392,0,1,1
2007,85,11,1,73,8,93,10,10,0,49,0,0,1,0,1565,0,1,1
2008,85,11,1,75,8,93,10,10,0,50,0,1,0,0,1639,0,1,0
