year,id,lnCI,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,Carbon-peaking pressure,EI,CI_ratio,d1,d2
year	id	lnCI	education	major	tenure	age	hometown	Structure	Open	TI	PGDP2	PGDP	Fixed	FD	UR	pilot	rank	turnover	Carbon-peaking pressure	EI	CI_ratio	d1	d2

2019,177,11,0,11,9,73,9,11,0,55,0,0,0,0,5716,0,1,0
2000,178,10,0,0,5,64,8,7,0,21,0,0,1,0,,,0,0
2001,178,10,0,0,5,62,8,8,0,22,0,0,0,0,,0,0,1
2002,178,10,0,0,5,62,8,8,0,23,0,0,0,0,,0,0,0
2003,178,10,0,0,5,62,8,8,0,24,0,0,0,0,,0,0,0
2004,178,10,0,1,5,63,8,9,0,26,0,0,1,0,,0,0,1
2005,178,11,0,2,5,62,8,9,0,26,0,0,0,0,,0,0,1
2006,178,11,0,2,6,63,8,9,0,28,0,0,0,0,550,0,0,0
2007,178,11,0,3,6,63,8,9,0,29,0,0,1,0,555,0,0,0
2008,178,11,0,3,6,64,8,10,0,30,0,0,1,0,537,0,0,0
2009,178,11,0,3,6,63,8,10,0,30,0,0,0,0,718,0,1,1
2010,178,11,0,3,6,63,8,10,0,33,0,0,0,0,726,0,1,1
2011,178,11,0,3,6,65,8,10,0,34,0,0,0,0,675,0,1,0
2012,178,11,0,3,7,65,8,10,0,36,0,0,1,0,787,0,1,0
2013,178,11,0,3,7,65,8,10,0,38,0,0,0,0,976,0,1,1
2014,178,11,0,4,7,65,8,10,0,40,0,0,0,0,1153,0,1,1
2015,178,11,0,5,7,65,8,10,0,42,0,0,0,0,967,0,1,1
2016,178,11,0,6,8,65,8,10,0,44,0,0,1,0,1047,0,0,0
2017,178,11,0,7,8,65,8,10,0,46,0,0,0,0,4088,0,1,1
2018,178,11,0,9,8,65,8,10,0,47,0,0,0,0,4510,0,1,1
2019,178,11,0,12,9,67,8,10,0,49,0,0,0,0,4417,0,1,0
2000,179,10,0,2,5,77,9,9,0,32,0,0,1,0,,,0,1
2001,179,10,0,2,5,77,9,9,0,34,0,0,0,0,,0,0,1
2002,179,10,0,1,5,77,9,9,0,35,0,0,0,0,,0,0,1
2003,179,10,0,1,5,77,9,9,0,37,0,0,0,0,,0,0,0
2004,179,10,0,4,5,78,9,9,0,38,0,0,1,0,,0,0,1
2005,179,11,0,4,6,77,9,9,0,40,0,0,0,0,,0,0,0
2006,179,11,0,3,6,77,9,9,0,43,0,0,0,0,1167,0,0,1
2007,179,11,0,2,6,78,9,9,0,45,0,0,0,0,1803,0,0,1
2008,179,11,1,2,6,79,9,10,0,45,0,0,0,0,1834,0,0,1
2009,179,11,1,2,6,79,9,10,0,47,0,0,0,0,1946,0,0,0
2010,179,11,1,4,7,80,9,10,0,46,0,0,0,0,1877,0,0,1
2011,179,11,1,4,7,81,9,10,0,48,0,0,1,0,1882,0,1,1
2012,179,11,1,2,7,82,9,10,0,49,0,0,0,0,1905,0,1,1
2013,179,11,1,2,7,82,9,10,0,51,0,0,1,0,2119,0,1,1
2014,179,11,1,2,7,82,9,10,0,52,0,0,0,0,2182,0,1,1
2015,179,11,1,3,8,82,9,10,0,54,0,0,1,0,2287,0,1,0
2016,179,11,0,3,8,82,9,10,0,56,0,0,1,0,2424,0,1,1
2017,179,11,0,5,8,81,9,11,0,57,0,0,0,0,4347,0,1,0
2018,179,11,0,6,8,81,9,11,0,58,0,0,1,0,4698,0,1,0
2019,179,11,0,9,8,81,9,11,0,59,0,0,1,0,4926,0,1,1
2000,180,10,0,2,5,72,9,8,0,26,0,0,0,0,,,0,0
2001,180,10,0,2,5,73,9,8,0,27,0,0,1,0,,0,0,1
2002,180,10,0,2,5,73,9,9,0,29,0,0,0,0,,0,0,1
2003,180,10,0,2,5,73,9,9,0,30,0,0,0,0,,0,0,1
2004,180,10,0,2,5,74,9,9,0,32,0,0,0,0,,0,0,0
2005,180,11,0,2,5,73,9,9,0,33,0,0,0,0,,0,0,0
2006,180,11,0,2,6,73,9,9,0,35,0,0,1,0,712,0,0,1
2007,180,11,0,2,6,74,9,9,0,36,0,0,0,0,605,0,0,0
2008,180,11,0,2,6,75,9,9,0,37,0,0,1,0,687,0,0,0
2009,180,11,0,1,6,76,9,10,0,38,0,0,0,0,956,0,0,1
2010,180,11,0,1,7,77,9,10,0,39,0,0,0,0,1027,0,0,0
2011,180,11,0,1,7,78,9,10,0,40,0,0,0,0,1004,0,1,0
2012,180,11,0,2,7,78,9,10,0,43,0,0,0,0,1105,0,1,1
2013,180,11,0,2,7,78,9,10,0,44,0,0,1,0,1192,0,1,1
2014,180,11,0,2,7,78,9,10,0,46,0,0,0,0,1421,0,0,0
2015,180,11,0,2,7,78,9,10,0,48,0,0,0,0,1918,0,0,1
2016,180,11,0,2,8,78,9,10,0,50,0,0,0,0,2066,0,0,0
2017,180,11,0,2,8,78,9,10,0,52,0,0,1,0,3797,0,0,1
2018,180,11,0,3,8,78,9,10,0,53,0,0,0,0,3887,0,1,1
2019,180,11,0,4,9,78,9,10,0,54,0,0,0,0,4275,0,1,1
2000,181,10,0,1,4,66,8,7,0,21,0,0,0,0,,,0,0
2001,181,10,0,1,4,66,8,7,0,23,0,0,0,0,,0,0,1
2002,181,10,0,0,4,66,8,8,0,26,0,0,0,0,,0,0,0
2003,181,11,0,0,4,66,8,8,0,28,0,0,0,0,,0,0,0
2004,181,11,0,0,4,67,8,8,0,31,0,0,0,0,,0,0,0
2005,181,11,0,0,4,67,8,8,0,32,0,0,0,0,,0,0,1
2006,181,11,0,0,4,67,8,8,0,34,0,0,0,0,901,0,0,0
2007,181,11,0,0,4,68,8,8,0,36,0,0,1,0,1222,0,0,1
2008,181,11,0,1,4,69,8,8,0,37,0,0,0,0,1124,0,1,1
