year,citycode,lnCI,education,major,tenure,age,hometown,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,pressure,EI,CI_ratio,d1,d2
2006,445200,10.665798,2,1,2,44,1,0.51166356,27.447878,6.1862087,69.74510695,8.3513536,9.0290518,0.11998519,45.020165,0,0,0,1,1294,0,0,1
2007,445200,10.683497,2,1,3,44,1,0.53606552,26.065279,6.0822191,69.97192843,8.3649225,9.1557989,0.12444808,45.020286,0,0,0,1,1185,0,0,0
2008,445200,10.666929,2,1,1,54,1,0.54825485,23.311255,6.3243589,70.8311819,8.4161263,9.2750511,0.11703293,45.359149,0,0,1,1,1408,0,0,0
2009,445200,10.775981,2,1,2,55,1,0.55483949,25.408968,6.4614682,69.93003815,8.3624182,9.5215826,0.11534561,45.359441,0,0,0,1,1612,0,0,1
2010,445200,10.842654,2,1,3,56,1,0.554528,24.768333,6.8875527,69.85102727,8.3576927,9.7055302,0.10984374,47.310896,0,0,0,1,1624,0,0,1
2011,445200,10.897388,3,1,0,48,1,0.62668216,22.877533,7.2283883,70.4487825,8.3933773,9.7246408,0.11272594,47.599486,0,0,1,1,1593,0,0,0
2012,445200,10.915188,3,1,1,49,1,0.64993644,20.573027,7.6477861,70.56281403,8.4001675,9.6308308,0.11725753,49.000151,0,0,0,1,1718,0,1,1
2013,445200,10.902881,3,1,2,50,1,0.57700974,19.523827,7.8018003,70.0589741,8.3701239,9.7218161,0.10916229,50.029192,0,0,0,1,2806,0,0,0
2014,445200,11.034284,3,1,3,51,1,0.56277633,20.828104,7.719574,69.66322593,8.3464499,9.9006824,0.11145644,50.530205,0,0,0,1,3422,0,1,1
2015,445200,11.061046,2,1,1,52,1,0.51976329,27.485353,7.9054418,68.83995511,8.2969847,10.044859,0.1290296,50.890426,0,0,1,1,3604,0,1,0
2016,445200,11.113173,2,1,2,53,1,0.47462699,27.192307,8.2406492,69.08408593,8.3116837,10.059002,0.12025226,50.999344,0,0,0,1,4579,0,1,0
2017,445200,11.216347,1,1,1,55,1,0.41892865,22.223047,8.4869404,68.44435569,8.2731104,10.123616,0.11955809,51.079527,0,0,1,1,7434,0,1,1
2018,445200,11.252123,1,1,2,56,1,0.40176791,17.81587,8.6640606,68.93338761,8.3026133,9.5752888,0.1247979,51.18074,0,0,0,1,7164,0,1,1
2019,445200,11.297874,2,1,1,52,0,0.38566959,15.695066,8.9419374,69.19848207,8.3185625,9.6740627,0.13116796,51.230139,0,0,1,1,7117,0,1,0
2000,445300,10.230201,1,1,3,56,1,0.29035148,19.691898,2.7080503,71.7909139,8.4729519,7.9907055,0.045314901,35.86,0,0,0,1,,,0,0
2001,445300,10.221346,1,1,4,57,1,0.28267765,15.851685,3.4965076,71.54300975,8.4583101,8.0656595,0.043407183,27.983279,0,0,0,1,,0,0,1
2002,445300,10.340144,1,1,5,58,1,0.27590814,20.61315,4.0073333,71.10216548,8.43221,8.1215124,0.0394735,20.106558,0,0,0,1,,0,0,0
2003,445300,10.527676,1,1,6,59,1,0.28747848,25.178167,4.2195077,70.79869433,8.414196,8.3825579,0.17198387,12.229837,0,0,0,1,,0,0,1
2004,445300,10.578233,3,1,1,44,1,0.30177981,26.842974,4.6539602,71.6740043,8.4660501,8.6361437,0.17878263,24.794137,0,0,1,1,,0,0,1
2005,445300,10.735381,3,1,2,44,1,0.36399424,29.199247,4.5849676,70.94238739,8.4227304,8.7563019,0.17729308,37.258002,0,0,0,1,,0,0,1
2006,445300,10.840539,3,1,3,45,1,0.40277359,30.732332,4.7095304,70.69042317,8.4077597,8.7450914,0.18072125,49.801816,0,0,0,1,806,0,0,0
2007,445300,10.882041,3,1,4,46,1,0.42909846,27.909584,4.5325994,71.03387593,8.4281597,8.7399044,0.18420723,36.38896,0,0,0,1,940,0,0,0
2008,445300,10.894465,3,1,5,47,1,0.42524403,24.491596,4.8362818,71.753797,8.4707613,8.8109388,0.17219612,36.579633,0,0,1,1,965,0,0,0
2009,445300,11.007586,3,2,1,50,0,0.40376776,19.049435,5.0498562,70.81512989,8.4151726,9.0796509,0.16899604,36.780772,0,0,0,1,775,0,1,1
2010,445300,11.057369,3,2,2,51,0,0.39922205,22.523067,5.3844953,70.74365767,8.4109249,9.213501,0.18902384,36.958822,0,0,0,1,956,0,1,0
2011,445300,11.108737,3,2,3,52,0,0.40262374,18.571806,5.5947113,71.20165818,8.4381075,9.2011194,0.16957714,37.167956,0,0,1,1,1172,0,1,0
2012,445300,11.149565,3,1,1,52,1,0.38144895,17.466347,6.025866,70.88153106,8.419117,9.3504391,0.17674819,39.102007,0,0,0,1,1037,0,1,1
2013,445300,11.125537,3,1,2,53,1,0.40154824,16.158499,6.1246834,70.72387824,8.409749,9.4240665,0.17258818,39.338659,0,0,0,1,1118,0,1,0
2014,445300,11.212504,3,1,3,54,1,0.41647738,17.043922,6.3421216,70.1822432,8.3774843,9.5903072,0.18595657,39.47067,0,0,1,1,1595,0,1,0
2015,445300,11.180608,2,1,1,48,1,0.39447933,17.822607,6.5957804,69.80828087,8.355135,9.581233,0.17579961,40.23166,0,0,0,1,640,0,1,1
2016,445300,11.222834,2,1,2,49,1,0.37963447,17.674061,7.0387836,69.81451227,8.3555079,9.2093124,0.17344072,40.958562,0,0,0,1,3028,0,1,0
2017,445300,11.200069,2,1,3,50,1,0.33694088,16.017803,7.3492308,70.01635489,8.3675776,9.2184029,0.17889644,41.19901,0,0,0,1,6262,0,1,1
